,human_baseline_summaries,original_model_summaries,peft_model_summaries
833,"#Person2# calls #Person1#, the IBA Client Services Department to report his lost credit card and asks for help.","#Person1#: I'm Shelley speaking, how can I help you?",Shelley lost her credit card and asks IBA for help. Shelley tells #Person1# she lost it around an hour ago and she'll take some details from FRCM.
834,#Person1# is going to have a nap and #Person2# will start dinner at 6.00.,Person1 will wake up at 6:00.,#Person1# is going to take a nap. #Person2# will start dinner at 6:00 and #Person1# will wake #Person1# up. #Person2# suggests #Person1# take a nap.
835,#Person1# is tired and will take a nap and #Person2# gets the dinner ready.,Person1 will wake up at 6:00.,#Person1# is going to take a nap. #Person2# will start dinner at 6:00 and #Person1# will wake #Person1# up. #Person2# suggests #Person1# take a nap.
836,#Person1# is going to take a nap and #Person2# will let #Person1# wake up naturally.,Person1 will wake up at 6:00.,#Person1# is going to take a nap. #Person2# will start dinner at 6:00 and #Person1# will wake #Person1# up. #Person2# suggests #Person1# take a nap.
837,#Person2# orders Chinese food and asks for two value meals.,#Person1#: I'd like to have Chinese food.,#Person2# wants to have Chinese food and #Person1# puts down the table in front of him. #Person2# wants to take two value meals and some chili paste. #Person1# asks #Person2# to press that button if #Person2# needs any help.
838,#Person2# takes orders of Chinese food. #Person2# is pleased with #Person1#'s service.,#Person1#: I'd like to have Chinese food.,#Person2# wants to have Chinese food and #Person1# puts down the table in front of him. #Person2# wants to take two value meals and some chili paste. #Person1# asks #Person2# to press that button if #Person2# needs any help.
839,#Person2# orders some Chinese food with the help of #Person1#.,#Person1#: I'd like to have Chinese food.,#Person2# wants to have Chinese food and #Person1# puts down the table in front of him. #Person2# wants to take two value meals and some chili paste. #Person1# asks #Person2# to press that button if #Person2# needs any help.
840,#Person1# and #Person2# are waiting for food.,#Person1#: Let's get the table wares we need first. #Person2#: Let's stand in the line now. #Person1#: I've got all I need. #Person2#: Let's stand in the line now. #Person1#: I've got cream cakes. #Person2#: I don't like them.,#Person1# and #Person2# are standing in the line. They are going to have cream cakes and #Person2# doesn't like them.
841,#Person1# and #Person2# are standing in line to buy food.,#Person1#: Let's get the table wares we need first. #Person2#: Let's stand in the line now. #Person1#: I've got all I need. #Person2#: Let's stand in the line now. #Person1#: I've got cream cakes. #Person2#: I don't like them.,#Person1# and #Person2# are standing in the line. They are going to have cream cakes and #Person2# doesn't like them.
842,#Person1# and #Person2# are waiting in line for food.,#Person1#: Let's get the table wares we need first. #Person2#: Let's stand in the line now. #Person1#: I've got all I need. #Person2#: Let's stand in the line now. #Person1#: I've got cream cakes. #Person2#: I don't like them.,#Person1# and #Person2# are standing in the line. They are going to have cream cakes and #Person2# doesn't like them.
843,#Person1# asks Lucy to sing but Lucy is unwilling to do so.,Person1: It's your turn.,Lucy wants to sing but Stanley wants to sing. Lucy asks Stanley to put on Elvis's song for him. Stanley agrees.
844,#Person1# tries to persuade Lucy to sing but Lucy would rather just listen.,Person1: It's your turn.,Lucy wants to sing but Stanley wants to sing. Lucy asks Stanley to put on Elvis's song for him. Stanley agrees.
845,#Person1# encourages Lucy to sing but Lucy just wants to listen.,Person1: It's your turn.,Lucy wants to sing but Stanley wants to sing. Lucy asks Stanley to put on Elvis's song for him. Stanley agrees.
846,#Person2# thinks the function of movie theatres should be updated.,#Person1#: I think we have to change the concept of movie showing.,"#Person2# thinks home video players will replace movie theatres and force them out of the entertainment business. #Person2# thinks the movie theatre should not just be a place to watch a film, but a place to meet people."
847,#Person2# thinks the movie industry should be revolutionized to survive the threat from DVD industry.,#Person1#: I think we have to change the concept of movie showing.,"#Person2# thinks home video players will replace movie theatres and force them out of the entertainment business. #Person2# thinks the movie theatre should not just be a place to watch a film, but a place to meet people."
848,#Person1# and #Person2# talk about the possible destiny of movie theatre.,#Person1#: I think we have to change the concept of movie showing.,"#Person2# thinks home video players will replace movie theatres and force them out of the entertainment business. #Person2# thinks the movie theatre should not just be a place to watch a film, but a place to meet people."
849,#Person2# wants to buy some clothes but #Person1#'s recommendation doesn't interest #Person2#.,Look at the dresses we have.,#Person2# likes the brown dress but it's too heavy. #Person1# recommends silk and cotton dresses in spring and yellow or green.
850,#Person1# gives #Person2# a few suggestions on clothes but none is taken.,Look at the dresses we have.,#Person2# likes the brown dress but it's too heavy. #Person1# recommends silk and cotton dresses in spring and yellow or green.
851,#Person2# is not happy with #Person1#'s recommendeds.,Look at the dresses we have.,#Person2# likes the brown dress but it's too heavy. #Person1# recommends silk and cotton dresses in spring and yellow or green.
852,Joshua is asking his dad for money and explains his plan with the money.,Joshua forgot his allowance.,Joshua owes his dad $13. He forgets every Saturday and he thinks he has enough. His dad suggests going to the bank and putting some in savings.
853,"#Person2# is annoyed when Joshua asks for the allowance, but is pleased to hear how Joshua will use the money.",Joshua forgot his allowance.,Joshua owes his dad $13. He forgets every Saturday and he thinks he has enough. His dad suggests going to the bank and putting some in savings.
854,Joshua asks for allowance from his dad. #Person2# gives the money to Joshua from his secret money.,Joshua forgot his allowance.,Joshua owes his dad $13. He forgets every Saturday and he thinks he has enough. His dad suggests going to the bank and putting some in savings.
855,#Person1# and #Person2# are going to Mike's birthday party tomorrow.,Mike's birthday is tomorrow.,#Person1# and #Person2# are going to Mike's birthday party tomorrow. #Person1# will call Mike and ask him about the time the party will begin. #Person2# will drive to Mike's party after work.
856,Both #Person1# and #Person2# were invited to Mike's birthday party. #Person2# will give #Person1# a ride.,Mike's birthday is tomorrow.,#Person1# and #Person2# are going to Mike's birthday party tomorrow. #Person1# will call Mike and ask him about the time the party will begin. #Person2# will drive to Mike's party after work.
857,#Person2# will drive #Person1# to Mike's birthday.,Mike's birthday is tomorrow.,#Person1# and #Person2# are going to Mike's birthday party tomorrow. #Person1# will call Mike and ask him about the time the party will begin. #Person2# will drive to Mike's party after work.
858,#Person1# is sending a package with the help of #Person2#.,#Person1#: I'd like to send this package by first-class mail. #Person2#: I'd like to get some stamps and money orders.,#Person1# wants to send a package by first-class mail and some stamps. #Person2# tells #Person1# to get them at the stamp window and money orders at the window.
859,#Person2# instructs #Person1# on how to send a package by mail.,#Person1#: I'd like to send this package by first-class mail. #Person2#: I'd like to get some stamps and money orders.,#Person1# wants to send a package by first-class mail and some stamps. #Person2# tells #Person1# to get them at the stamp window and money orders at the window.
860,#Person1# sends a package at #Person2#'s and buys some stamps at the other window.,#Person1#: I'd like to send this package by first-class mail. #Person2#: I'd like to get some stamps and money orders.,#Person1# wants to send a package by first-class mail and some stamps. #Person2# tells #Person1# to get them at the stamp window and money orders at the window.
